Product,Top_1_Feature,Top_1_Score,Top_2_Feature,Top_2_Score,Top_3_Feature,Top_3_Score
ind_cco_fin_ult1,ind_cco_fin_ult1,0.3094,cluster_label,0.2034,ind_nuevo,0.1253
ind_cno_fin_ult1,ind_actividad_cliente,0.2044,rule_nom_pens_TO_cno,0.1271,ind_nuevo,0.0892
ind_ctju_fin_ult1,age,0.9456,ind_actividad_cliente,0.0276,renta,0.0069
ind_ctma_fin_ult1,ind_recibo_ult1_lag3,0.1737,ind_cno_fin_ult1_lag3,0.1424,ind_cco_fin_ult1_lag3,0.0869
ind_ctop_fin_ult1,antiguedad,0.1717,ind_ctop_fin_ult1,0.0754,ind_actividad_cliente,0.0730
ind_ctpp_fin_ult1,tiprel_1mes,0.1453,antiguedad,0.1107,ind_actividad_cliente,0.0732
ind_deco_fin_ult1,antiguedad,0.4762,age,0.0503,rule_cco_TO_fond,0.0391
ind_deme_fin_ult1,rule_nom_pens_ecue_TO_tjcr,0.1095,ind_actividad_cliente,0.0846,tiprel_1mes,0.0808
ind_dela_fin_ult1,age,0.1490,ind_actividad_cliente,0.0857,ind_dela_fin_ult1,0.0544
ind_ecue_fin_ult1,tiprel_1mes,0.1605,ind_actividad_cliente,0.1554,ind_ecue_fin_ult1_lag2,0.0584
ind_fond_fin_ult1,tiprel_1mes,0.1796,ind_tjcr_fin_ult1_lag3,0.0580,rule_dela_TO_ctop,0.0385
ind_plan_fin_ult1,rule_reca_TO_ctop,0.1041,ind_cno_fin_ult1,0.0764,cluster_label,0.0700
ind_pres_fin_ult1,ind_valo_fin_ult1_lag2,0.3091,ind_valo_fin_ult1_lag3,0.2661,ind_valo_fin_ult1,0.1161
ind_reca_fin_ult1,ind_actividad_cliente,0.1376,rule_ecue_TO_dela,0.0568,ind_recibo_ult1_lag2,0.0447
ind_tjcr_fin_ult1,tiprel_1mes,0.3324,ind_recibo_ult1_lag2,0.1332,ind_actividad_cliente,0.1084
ind_valo_fin_ult1,ind_actividad_cliente,0.1641,tiprel_1mes,0.1368,ind_tjcr_fin_ult1_lag3,0.0371
ind_nomina_ult1,ind_cno_fin_ult1_lag2,0.2562,ind_actividad_cliente,0.1364,ind_cno_fin_ult1,0.1154
ind_nom_pens_ult1,ind_cno_fin_ult1_lag2,0.2809,ind_actividad_cliente,0.1628,ind_cno_fin_ult1,0.1133
ind_recibo_ult1,ind_actividad_cliente,0.4017,ind_recibo_ult1,0.0958,ind_recibo_ult1_lag2,0.0815
